,ip,num_pkts,mean,median,distinct_values,delta
0,1.214.216.170,35,111.71428571428571,112.0,[112 111],1
1,1.215.163.146,66,110.0,110.0,[110],0
2,1.215.244.35,76,110.46052631578948,110.0,[111 110],1
3,1.34.168.73,7,47.0,47.0,[47],0
4,101.99.3.27,191,111.0,111.0,[111],0
5,108.162.24.75,1,111.0,111.0,[111],0
6,108.58.108.107,1,112.0,112.0,[112],0
7,108.58.236.213,2,111.0,111.0,[111],0
8,109.195.227.165,8,113.0,113.0,[113],0
9,110.16.14.117,185,111.0,111.0,[111],0
10,110.93.131.3,173,112.0,112.0,[112],0
11,111.113.13.75,6,106.0,106.0,[106],0
12,111.223.243.185,114,46.0,46.0,[46],0
13,112.124.103.41,27,108.0,108.0,[108],0
14,112.124.14.150,7,108.0,108.0,[108],0
15,112.124.24.67,5,44.0,44.0,[44],0
16,112.124.51.204,19,108.0,108.0,[108],0
17,112.124.53.191,28,44.0,44.0,[44],0
18,112.124.69.195,10,108.0,108.0,[108],0
19,112.216.106.50,16,109.0,109.0,[109],0
20,112.216.124.38,216,109.46296296296296,109.0,[110 109],1
21,112.216.171.238,52,109.5,109.5,[109 110],1
22,112.216.202.213,20,109.2,109.0,[110 109],1
23,112.216.44.68,53,108.49056603773585,108.0,[108 109],1
24,112.216.75.58,155,109.0,109.0,[109],0
25,112.217.108.234,6,109.66666666666667,110.0,[110 109],1
26,112.217.148.146,204,110.0,110.0,[110],0
27,112.217.210.28,180,109.39444444444445,109.0,[109 110],1
28,112.217.215.186,85,45.0,45.0,[45],0
29,112.218.47.42,61,108.59016393442623,109.0,[109 108],1
30,112.3.61.91,4,105.0,105.0,[105],0
31,113.161.6.6,36,109.58333333333333,110.0,[110 109],1
32,113.161.96.5,40,108.375,108.0,[108 109],1
33,113.201.60.179,8,111.0,111.0,[111],0
34,113.31.30.79,2,108.0,108.0,[108],0
35,114.215.190.210,16,108.0,108.0,[108],0
36,114.31.56.19,6,114.0,114.0,[114],0
37,115.141.143.92,1,110.0,110.0,[110],0
38,115.141.144.182,4,107.0,107.0,[107],0
39,115.141.61.182,1,109.0,109.0,[109],0
40,115.238.232.249,16,106.0,106.0,[106],0
41,115.28.130.20,8,107.0,107.0,[107],0
42,115.28.140.106,5,107.0,107.0,[107],0
43,115.28.172.144,21,107.0,107.0,[107],0
44,115.28.179.135,13,107.0,107.0,[107],0
45,115.28.34.57,6,107.0,107.0,[107],0
46,115.28.50.37,15,107.0,107.0,[107],0
47,115.28.54.204,7,107.0,107.0,[107],0
48,115.28.78.24,3,43.0,43.0,[43],0
49,115.28.79.62,8,43.0,43.0,[43],0
50,115.29.15.81,3,108.0,108.0,[108],0
51,115.29.43.50,18,107.0,107.0,[107],0
52,115.29.47.22,3,107.0,107.0,[107],0
53,115.29.48.62,17,107.0,107.0,[107],0
54,115.29.5.127,44,108.0,108.0,[108],0
55,115.92.92.119,23,107.0,107.0,[107],0
56,115.93.241.76,160,109.6125,110.0,[110 109],1
57,116.11.32.37,113,107.36283185840708,107.0,[107 108],1
58,116.202.226.36,8,112.25,112.0,[112 113],1
59,116.228.214.78,10,108.5,108.5,[109 108],1
60,116.55.229.232,118,45.0,45.0,[45],0
61,117.32.250.52,74,43.0,43.0,[43],0
62,118.123.240.106,37,44.0,44.0,[44],0
63,118.123.249.240,8,109.0,109.0,[109],0
64,118.128.103.139,19,108.78947368421052,109.0,[109 108],1
65,118.131.117.157,193,108.0,108.0,[108],0
66,118.144.103.245,9,104.0,104.0,[104],0
67,118.144.114.121,4,41.5,41.5,[41 42],1
68,118.163.137.18,8,112.0,112.0,[112],0
69,118.69.35.104,8,105.0,105.0,[105],0
70,118.70.148.76,37,106.67567567567568,107.0,[107 106],1
71,119.167.225.15,311,111.0,111.0,[111],0
72,119.39.124.143,14,109.0,109.0,[109],0
73,119.68.184.226,2,108.0,108.0,[108],0
74,119.97.174.203,13,44.15384615384615,44.0,[44 45],1
75,119.97.222.23,6,42.0,42.0,[42],0
76,12.188.73.3,95,113.0,113.0,[113],0
77,120.68.194.187,41,108.0,108.0,[108],0
78,121.254.228.202,216,111.49074074074075,111.0,[112 111],1
79,121.8.182.186,4,109.0,109.0,[109],0
80,121.8.99.101,187,106.70053475935829,107.0,[106 107],1
81,121.9.212.71,42,106.0,106.0,[106],0
82,121.96.59.110,162,111.0,111.0,[111],0
83,122.226.159.21,85,44.0,44.0,[44],0
84,123.204.41.103,8,108.0,108.0,[108],0
85,123.233.248.165,174,45.0,45.0,[45],0
86,123.234.20.102,15,46.0,46.0,[46],0
87,123.235.7.214,17,44.0,44.0,[44],0
88,123.235.8.2,54,46.0,46.0,[46],0
89,123.81.247.124,83,108.0,108.0,[108],0
90,124.118.139.210,8,110.0,110.0,[110],0
91,124.118.207.148,39,107.0,107.0,[107],0
92,124.119.4.50,27,45.0,45.0,[45],0
93,124.133.2.139,244,110.0,110.0,[110],0
94,124.163.219.164,50,47.0,47.0,[47],0
95,124.192.90.120,7,104.0,104.0,[104],0
96,124.206.20.249,4,104.0,104.0,[104],0
97,124.56.196.37,5,108.6,109.0,[109 108],1
98,124.80.6.71,121,110.0,110.0,[110],0
99,124.88.36.203,70,108.0,108.0,[108],0
100,125.199.230.234,141,111.0,111.0,[111],0
101,125.46.0.162,8,110.0,110.0,[110],0
102,125.72.155.246,8,109.0,109.0,[109],0
103,125.73.220.28,55,45.0,45.0,[45],0
