,ip,num_pkts,mean,median,distinct_values,delta
0,100.42.61.226,6,49.0,49.0,[49],0
1,101.0.94.210,7,48.0,48.0,[48],0
2,101.110.206.140,5,49.0,49.0,[49],0
3,101.110.216.97,6,48.0,48.0,[48],0
4,101.99.69.110,7,52.0,52.0,[52],0
5,103.1.185.185,6,51.0,51.0,[51],0
6,103.1.225.210,5,48.0,48.0,[48],0
7,103.10.169.131,6,50.0,50.0,[50],0
8,103.13.120.186,9,47.0,47.0,[47],0
9,103.13.47.9,7,46.0,46.0,[46],0
10,103.14.170.16,5,50.0,50.0,[50],0
11,103.241.131.103,6,45.0,45.0,[45],0
12,103.7.166.10,7,48.0,48.0,[48],0
13,104.171.2.30,6,47.0,47.0,[47],0
14,106.186.116.129,5,51.0,51.0,[51],0
15,106.186.17.4,5,50.0,50.0,[50],0
16,106.186.23.87,5,51.0,51.0,[51],0
17,106.187.102.224,6,50.0,50.0,[50],0
18,106.187.103.250,6,51.0,51.0,[51],0
19,106.187.34.109,5,50.0,50.0,[50],0
20,106.187.38.71,7,51.0,51.0,[51],0
21,106.187.42.144,5,50.0,50.0,[50],0
22,106.187.47.128,5,50.0,50.0,[50],0
23,106.187.48.38,5,50.0,50.0,[50],0
24,106.187.51.120,5,50.0,50.0,[50],0
25,106.187.89.253,5,50.0,50.0,[50],0
26,106.187.97.181,6,50.0,50.0,[50],0
27,107.152.103.5,6,48.0,48.0,[48],0
28,107.170.17.68,6,50.0,50.0,[50],0
29,107.170.21.39,6,50.0,50.0,[50],0
30,107.20.135.81,6,109.0,109.0,[109],0
31,107.20.215.171,6,43.0,43.0,[43],0
32,107.21.216.40,5,42.0,42.0,[42],0
33,107.21.217.100,5,44.0,44.0,[44],0
34,107.22.225.123,7,42.0,42.0,[42],0
35,108.163.253.196,6,50.0,50.0,[50],0
36,108.166.173.247,6,49.0,49.0,[49],0
37,108.166.7.240,7,47.0,47.0,[47],0
38,108.168.215.106,8,49.0,49.0,[49],0
39,108.168.219.162,6,49.0,49.0,[49],0
40,108.168.243.98,6,49.0,49.0,[49],0
41,108.170.14.210,6,49.0,49.0,[49],0
42,108.174.194.237,6,49.0,49.0,[49],0
43,108.174.200.253,7,49.0,49.0,[49],0
44,108.175.158.10,6,49.0,49.0,[49],0
45,108.175.159.106,6,49.0,49.0,[49],0
46,108.175.159.142,6,49.0,49.0,[49],0
47,108.175.159.22,8,49.0,49.0,[49],0
48,108.175.159.34,6,49.0,49.0,[49],0
49,108.175.159.78,6,49.0,49.0,[49],0
50,108.175.209.150,6,53.0,53.0,[53],0
51,108.179.32.51,6,111.0,111.0,[111],0
52,108.59.251.162,6,47.0,47.0,[47],0
53,108.59.251.57,6,47.0,47.0,[47],0
54,108.59.252.206,6,47.0,47.0,[47],0
55,108.60.215.206,6,47.0,47.0,[47],0
56,108.61.6.99,6,49.0,49.0,[49],0
57,109.104.93.177,6,48.0,48.0,[48],0
58,109.108.129.20,7,51.0,51.0,[51],0
59,109.120.165.132,8,47.0,47.0,[47],0
60,109.169.67.83,13,52.0,52.0,[52],0
61,109.203.122.210,5,111.0,111.0,[111],0
62,109.228.28.248,6,45.0,45.0,[45],0
63,109.234.217.2,8,48.0,48.0,[48],0
64,109.74.192.228,5,48.0,48.0,[48],0
65,109.74.193.27,5,48.0,48.0,[48],0
66,109.74.201.93,7,51.0,51.0,[51],0
67,109.74.203.210,5,48.0,48.0,[48],0
68,110.142.177.62,6,45.166666666666664,45.0,[45 46],1
69,110.50.203.63,6,44.0,44.0,[44],0
70,111.118.221.160,6,49.0,49.0,[49],0
71,111.223.120.50,6,48.0,48.0,[48],0
72,111.65.227.116,6,47.0,47.0,[47],0
73,111.68.151.132,5,48.0,48.0,[48],0
74,111.68.186.136,5,48.0,48.0,[48],0
75,111.68.197.140,5,49.0,49.0,[49],0
76,111.68.216.105,5,48.0,48.0,[48],0
77,112.124.15.172,6,44.0,44.0,[44],0
78,112.124.64.129,6,108.0,108.0,[108],0
79,112.154.255.137,5,108.0,108.0,[108],0
80,112.78.125.96,6,45.0,45.0,[45],0
81,113.10.139.194,7,44.0,44.0,[44],0
82,113.192.22.210,6,47.0,47.0,[47],0
83,113.192.41.20,6,48.0,48.0,[48],0
84,114.112.58.131,6,42.0,42.0,[42],0
85,114.32.102.128,7,47.285714285714285,47.0,[47 48],1
86,114.32.114.222,6,46.0,46.0,[46],0
87,115.124.110.53,6,48.0,48.0,[48],0
88,115.146.1.125,7,45.0,45.0,[45],0
89,115.146.1.63,7,44.0,44.0,[44],0
90,115.146.19.190,10,48.0,48.0,[48],0
91,115.28.129.213,6,43.0,43.0,[43],0
92,115.29.179.3,8,108.0,108.0,[108],0
93,115.29.48.149,6,43.0,43.0,[43],0
94,115.71.236.250,5,49.0,49.0,[49],0
95,116.240.202.84,6,44.0,44.0,[44],0
96,117.103.108.47,7,49.0,49.0,[49],0
97,117.58.234.254,7,47.0,47.0,[47],0
98,118.219.233.212,7,42.0,42.0,[42],0
99,118.67.90.188,6,44.0,44.0,[44],0
100,118.97.170.214,6,47.0,47.0,[47],0
101,119.245.176.2,6,49.0,49.0,[49],0
102,119.245.203.2,6,50.0,50.0,[50],0
103,119.245.213.2,6,49.0,49.0,[49],0
104,12.131.0.56,6,109.0,109.0,[109],0
105,12.144.49.165,6,46.0,46.0,[46],0
106,12.151.60.11,6,110.0,110.0,[110],0
107,12.182.11.151,5,111.0,111.0,[111],0
108,12.202.84.234,6,47.0,47.0,[47],0
109,12.219.49.26,7,48.0,48.0,[48],0
110,12.249.80.118,5,108.0,108.0,[108],0
